word,aspect,head_word,head_word_tag_new,lematized_words,ner,next_words,ortho_features,pos_tag,post_word_tag,pre_word_tag,prev_words,stopword,token_freq,word_len
off,0,0,,off,0,is,0,RP,VBZ,NN,trade,1,1,0
is,0,0,,be,0,that,0,VBZ,IN,RP,off,1,2,0
that,0,0,,that,0,you,0,IN,PRP,VBZ,is,1,2,1
you,0,1,PRP,you,0,achieve,0,PRP,VBP,IN,that,1,1,0
achieve,0,0,,achieve,0,a,0,VBP,DT,PRP,you,0,1,1
a,0,0,,a,0,longer,0,DT,RBR,VBP,achieve,1,1,0
longer,0,0,,longer,0,battery,0,RBR,JJ,DT,a,0,1,1
battery,1,1,JJ,battery,0,life,0,JJ,NN,RBR,longer,0,1,1
life,1,1,NN,life,0,of,0,NN,IN,JJ,battery,0,1,1
of,0,0,,of,0,about,0,IN,IN,NN,life,1,1,0
about,0,0,,about,0,2,0,IN,CD,IN,of,1,1,1
2,1,0,,2,0,more,1,CD,JJR,IN,about,0,1,0
more,0,1,JJR,more,0,hours,0,JJR,NNS,CD,2,1,1,1
hours,0,1,NNS,hours,0,,0,NNS,,JJR,more,0,1,1
I,0,1,PRP,I,0,took,1,PRP,VBD,,,0,1,0
took,0,0,,take,0,it,0,VBD,PRP,PRP,I,0,1,1
it,0,1,PRP,it,0,back,0,PRP,RP,VBD,took,1,1,0
back,0,0,,back,0,for,0,RP,IN,PRP,it,0,1,1
for,0,0,,for,0,an,0,IN,DT,RP,back,1,1,0
an,0,0,,an,0,Asus,0,DT,NNP,IN,for,1,1,0
Asus,0,0,,Asus,0,and,1,NNP,CC,DT,an,0,1,1
and,0,0,,and,0,same,0,CC,JJ,NNP,Asus,1,1,0
same,0,0,,same,0,thing,0,JJ,NN,CC,and,1,1,1
thing,0,1,NN,thing,0,blue,0,NN,NN,JJ,same,0,1,1
blue,0,0,,blue,0,screen,0,NN,NN,NN,thing,0,1,1
screen,1,1,NN,screen,0,which,0,NN,WDT,NN,blue,0,1,1
which,0,0,,which,0,required,0,WDT,VBD,NN,screen,1,1,1
required,0,0,,require,0,me,0,VBD,PRP,WDT,which,0,1,1
me,0,1,PRP,me,0,to,0,PRP,TO,VBD,required,1,1,0
to,0,0,,to,0,remove,0,TO,VB,PRP,me,1,2,0
remove,0,0,,remove,0,the,0,VB,DT,TO,to,0,1,1
the,0,0,,the,0,battery,0,DT,NN,VB,remove,1,1,0
battery,1,1,NN,battery,0,to,0,NN,TO,DT,the,0,1,1
to,0,0,,to,0,reset,0,TO,VB,NN,battery,1,2,0
reset,0,0,,reset,0,,0,VB,,TO,to,0,1,1
In,0,0,,In,0,the,1,IN,DT,,,0,1,0
the,0,0,,the,0,shop,0,DT,NN,IN,In,1,3,0
shop,0,1,NN,shop,0,these,0,NN,DT,DT,the,0,1,1
these,0,0,,these,0,MacBooks,0,DT,NNP,NN,shop,1,1,1
MacBooks,0,1,NNP,MacBooks,1,are,0,NNP,VBP,DT,these,0,1,1
are,0,0,,be,0,encased,0,VBP,VBN,NNP,MacBooks,1,1,0
encased,0,0,,encase,0,in,0,VBN,IN,VBP,are,0,1,1
in,0,0,,in,0,a,0,IN,DT,VBN,encased,1,1,0
a,0,0,,a,0,soft,0,DT,JJ,IN,in,1,1,0
soft,0,0,,soft,0,rubber,0,JJ,NN,DT,a,0,1,1
rubber,1,0,,rubber,0,enclosure,0,NN,NN,JJ,soft,0,1,1
enclosure,1,1,NN,enclosure,0,so,0,NN,IN,NN,rubber,0,1,1
so,0,0,,so,0,you,0,IN,PRP,NN,enclosure,1,1,0
you,0,1,PRP,you,0,will,0,PRP,MD,IN,so,1,2,0
will,0,0,,will,0,never,0,MD,RB,PRP,you,1,1,1
never,0,0,,never,0,know,0,RB,VB,MD,will,0,1,1
know,0,0,,know,0,about,0,VB,IN,RB,never,0,1,1
about,0,0,,about,0,the,0,IN,DT,VB,know,1,1,1
the,0,0,,the,0,razor,0,DT,NN,IN,about,1,3,0
razor,0,0,,razor,0,edge,0,NN,NN,DT,the,0,1,1
edge,1,1,NN,edge,0,until,0,NN,IN,NN,razor,0,1,1
until,0,0,,until,0,you,0,IN,PRP,NN,edge,1,1,1
you,0,1,PRP,you,0,buy,0,PRP,VBP,IN,until,1,2,0
buy,0,0,,buy,0,it,0,VBP,PRP,PRP,you,0,1,0
it,0,1,PRP,it,0,get,0,PRP,VB,VBP,buy,1,3,0
get,0,0,,get,0,it,0,VB,PRP,PRP,it,0,1,0
it,0,1,PRP,it,0,home,0,PRP,RB,VB,get,1,3,0
home,1,0,,home,0,break,0,RB,VBP,PRP,it,0,1,1
break,0,0,,break,0,the,0,VBP,DT,RB,home,0,1,1
the,0,0,,the,0,seal,0,DT,NN,VBP,break,1,3,0
seal,0,1,NN,seal,0,and,0,NN,CC,DT,the,0,1,1
and,0,0,,and,0,use,0,CC,VB,NN,seal,1,1,0
use,1,0,,use,0,it,0,VB,PRP,CC,and,0,1,0
it,0,1,PRP,it,0,very,0,PRP,RB,VB,use,1,3,0
very,0,0,,very,0,clever,0,RB,JJ,PRP,it,1,1,1
clever,0,0,,clever,0,con,0,JJ,NN,RB,very,0,1,1
con,0,1,NN,con,0,,0,NN,,JJ,clever,0,1,0
However,0,0,,However,0,the,1,RB,DT,,,0,1,1
the,0,0,,the,0,multi,0,DT,NN,RB,However,1,1,0
multi,0,0,,multi,0,touch,0,NN,JJ,DT,the,0,1,1
touch,1,0,,touch,0,gestures,0,JJ,NNS,NN,multi,0,1,1
gestures,1,0,,gesture,0,and,0,NNS,CC,JJ,touch,0,1,1
and,0,0,,and,0,large,0,CC,JJ,NNS,gestures,1,1,0
large,0,0,,large,0,tracking,0,JJ,VBG,CC,and,0,1,1
tracking,1,0,,track,0,area,0,VBG,NN,JJ,large,0,1,1
area,1,1,NN,area,0,make,0,NN,VBP,VBG,tracking,0,1,1
make,0,0,,make,0,having,0,VBP,VBG,NN,area,0,1,1
having,0,0,,have,0,an,0,VBG,DT,VBP,make,1,1,1
an,0,0,,an,0,external,0,DT,JJ,VBG,having,1,1,0
external,1,0,,external,0,mouse,0,JJ,NN,DT,an,0,1,1
mouse,1,1,NN,mouse,0,unnecessary,0,NN,JJ,JJ,external,0,1,1
unnecessary,0,0,,unnecessary,0,unless,0,JJ,IN,NN,mouse,0,1,1
unless,0,0,,unless,0,you,0,IN,PRP,JJ,unnecessary,0,1,1
you,0,1,PRP,you,0,are,0,PRP,VBP,IN,unless,1,1,0
are,0,0,,be,0,gaming,0,VBP,VBG,PRP,you,1,1,0
gaming,1,1,VBG,game,0,,0,VBG,,VBP,are,0,1,1
Plus,0,0,,Plus,0,it,1,CC,PRP,,,0,1,1
it,0,1,PRP,it,0,is,0,PRP,VBZ,CC,Plus,1,2,0
is,0,0,,be,0,small,0,VBZ,JJ,PRP,it,1,1,0
small,0,0,,small,0,and,0,JJ,CC,VBZ,is,0,1,1
and,0,0,,and,0,reasonably,0,CC,RB,JJ,small,1,2,0
reasonably,0,0,,reasonably,0,light,0,RB,VBD,CC,and,0,1,1
light,1,1,VBD,light,0,so,0,VBD,RB,RB,reasonably,0,1,1
so,0,0,,so,0,I,0,RB,PRP,VBD,light,1,1,0
I,0,1,PRP,I,0,can,1,PRP,MD,RB,so,0,1,0
can,0,0,,can,0,take,0,MD,VB,PRP,I,1,1,0
take,0,0,,take,0,it,0,VB,PRP,MD,can,0,1,1
it,0,1,PRP,it,0,with,0,PRP,IN,VB,take,1,2,0
with,0,0,,with,0,me,0,IN,PRP,PRP,it,1,1,1
me,0,1,PRP,me,0,to,0,PRP,TO,IN,with,1,1,0
to,0,0,,to,0,and,0,TO,CC,PRP,me,1,1,0
and,0,0,,and,0,from,0,CC,IN,TO,to,1,2,0
from,0,0,,from,0,work,0,IN,NN,CC,and,1,1,1
work,1,1,NN,work,0,,0,NN,,IN,from,0,1,1
I,0,1,PRP,I,0,HATE,1,PRP,VBP,,,0,1,0
HATE,0,0,,HATE,0,this,0,VBP,DT,PRP,I,0,1,1
this,0,1,DT,this,0,one,0,DT,NN,VBP,HATE,1,1,1
one,1,1,NN,one,0,,0,NN,,DT,this,0,1,0
They,0,1,PRP,They,0,were,1,PRP,VBD,,,0,1,1
were,0,0,,be,0,totally,0,VBD,RB,PRP,They,1,1,1
totally,0,0,,totally,0,unconcerned,0,RB,JJ,VBD,were,0,1,1
unconcerned,0,0,,unconcerned,0,that,0,JJ,IN,RB,totally,0,1,1
that,0,0,,that,0,the,0,IN,DT,JJ,unconcerned,1,1,1
the,0,0,,the,0,computer,0,DT,NN,IN,that,1,2,0
computer,1,1,NN,computer,0,was,0,NN,VBD,DT,the,0,1,1
was,0,0,,be,0,not,0,VBD,RB,NN,computer,1,1,0
not,0,0,,not,0,correctly,0,RB,RB,VBD,was,1,1,0
correctly,0,0,,correctly,0,repaired,0,RB,VBN,RB,not,0,1,1
repaired,0,0,,repair,0,in,0,VBN,IN,RB,correctly,0,1,1
in,0,0,,in,0,the,0,IN,DT,VBN,repaired,1,1,0
the,0,0,,the,0,first,0,DT,JJ,IN,in,1,2,0
first,0,0,,first,0,place,0,JJ,NN,DT,the,0,1,1
place,0,1,NN,place,0,,0,NN,,JJ,first,0,1,1
Toshiba,1,1,NNP,Toshiba,1,does,1,NNP,VBZ,,,0,1,1
does,0,0,,do,0,not,0,VBZ,RB,NNP,Toshiba,1,1,1
not,0,0,,not,0,send,0,RB,VB,VBZ,does,1,1,0
send,0,0,,send,0,any,0,VB,DT,RB,not,0,1,1
any,0,0,,any,0,one,0,DT,CD,VB,send,1,1,0
one,1,1,CD,one,0,out,0,CD,RP,DT,any,0,1,0
out,0,0,,out,0,unless,0,RP,IN,CD,one,1,1,0
unless,0,0,,unless,0,you,0,IN,PRP,RP,out,0,1,1
you,0,1,PRP,you,0,have,0,PRP,VBP,IN,unless,1,1,0
have,0,0,,have,0,paid,0,VBP,VBN,PRP,you,1,2,1
paid,0,0,,pay,0,extra,0,VBN,JJ,VBP,have,0,1,1
extra,1,0,,extra,0,to,0,JJ,TO,VBN,paid,0,1,1
to,0,0,,to,0,have,0,TO,VB,JJ,extra,1,1,0
have,0,0,,have,0,the,0,VB,DT,TO,to,1,2,1
the,0,0,,the,0,on,0,DT,IN,VB,have,1,1,0
on,0,0,,on,0,site,0,IN,NN,DT,the,1,1,0
site,0,0,,site,0,repair,0,NN,NN,IN,on,0,1,1
repair,1,1,NN,repair,0,done,0,NN,VBN,NN,site,0,1,1
done,0,0,,do,0,,0,VBN,,NN,repair,0,1,1
Oh,0,0,,Oh,0,boy,1,UH,NN,,,0,1,0
boy,0,0,,boy,0,,0,NN,,UH,Oh,0,1,0
But,0,0,,But,0,while,1,CC,IN,,,0,1,0
while,0,1,IN,while,0,this,0,IN,DT,CC,But,1,1,1
this,0,1,DT,this,0,is,0,DT,VBZ,IN,while,1,1,1
is,0,0,,be,0,one,0,VBZ,CD,DT,this,1,1,0
one,1,1,CD,one,0,big,0,CD,JJ,VBZ,is,0,1,0
big,0,0,,big,0,advantage,0,JJ,NN,CD,one,0,1,0
advantage,0,1,NN,advantage,0,as,0,NN,IN,JJ,big,0,1,1
as,0,0,,a,0,you,0,IN,PRP,NN,advantage,1,1,0
you,0,1,PRP,you,0,may,0,PRP,MD,IN,as,1,1,0
may,0,0,,may,0,know,0,MD,VB,PRP,you,0,1,0
know,0,0,,know,0,from,0,VB,IN,MD,may,0,1,1
from,0,0,,from,0,the,0,IN,DT,VB,know,1,1,1
the,0,0,,the,0,company,0,DT,NN,IN,from,1,1,0
company,1,1,NN,company,0,s,0,NN,VBD,DT,the,0,1,1
s,0,0,,s,0,recent,0,VBD,JJ,NN,company,1,1,0
recent,0,0,,recent,0,commercials,0,JJ,NNS,VBD,s,0,1,1
commercials,0,1,NNS,commercials,0,there,0,NNS,EX,JJ,recent,0,1,1
there,0,1,EX,there,0,are,0,EX,VBP,NNS,commercials,1,1,1
are,0,0,,be,0,other,0,VBP,JJ,EX,there,1,1,0
other,0,0,,other,0,things,0,JJ,NNS,VBP,are,1,1,1
things,0,1,NNS,things,0,to,0,NNS,TO,JJ,other,0,1,1
to,0,0,,to,0,consider,0,TO,VB,NNS,things,1,1,0
consider,0,0,,consider,0,before,0,VB,IN,TO,to,0,1,1
before,0,0,,before,0,going,0,IN,VBG,VB,consider,1,1,1
going,0,0,,go,0,with,0,VBG,IN,IN,before,0,1,1
with,0,0,,with,0,Apple,0,IN,NNP,VBG,going,1,1,1
Apple,1,1,NNP,Apple,1,,1,NNP,,IN,with,0,1,1
I,0,1,PRP,I,0,love,1,PRP,VBP,,,0,1,0
love,0,0,,love,0,the,0,VBP,DT,PRP,I,0,1,1
the,0,0,,the,0,way,0,DT,NN,VBP,love,1,2,0
way,0,1,NN,way,0,the,0,NN,DT,DT,the,0,1,0
the,0,0,,the,0,entire,0,DT,JJ,NN,way,1,2,0
entire,0,0,,entire,0,suite,0,JJ,NN,DT,the,0,1,1
suite,1,1,NN,suite,0,of,0,NN,IN,JJ,entire,0,1,1
of,0,0,,of,0,software,0,IN,NN,NN,suite,1,1,0
software,1,1,NN,software,0,works,0,NN,VBZ,IN,of,0,1,1
works,1,0,,work,0,together,0,VBZ,RB,NN,software,0,1,1
together,0,0,,together,0,,0,RB,,VBZ,works,0,1,1
The,0,0,,The,0,speed,1,DT,NN,,,0,1,0
speed,1,1,NN,speed,0,is,0,NN,VBZ,DT,The,0,1,1
is,0,0,,be,0,incredible,0,VBZ,JJ,NN,speed,1,1,0
incredible,0,0,,incredible,0,and,0,JJ,CC,VBZ,is,0,1,1
and,0,0,,and,0,I,0,CC,PRP,JJ,incredible,1,1,0
I,0,1,PRP,I,0,am,1,PRP,VBP,CC,and,0,1,0
am,0,0,,be,0,more,0,VBP,JJR,PRP,I,1,1,0
more,0,1,JJR,more,0,than,0,JJR,IN,VBP,am,1,1,1
than,0,0,,than,0,satisfied,0,IN,JJ,JJR,more,1,1,1
satisfied,0,0,,satisfied,0,,0,JJ,,IN,than,0,1,1
on,0,0,,on,0,the,0,IN,DT,,,1,1,0
the,0,0,,the,0,bright,0,DT,JJ,IN,on,1,1,0
bright,0,0,,bright,0,side,0,JJ,NN,DT,the,0,1,1
side,0,1,NN,side,0,at,0,NN,IN,JJ,bright,0,1,1
at,0,0,,at,0,least,0,IN,JJS,NN,side,1,1,0
least,0,0,,least,0,I,0,JJS,PRP,IN,at,0,1,1
I,0,1,PRP,I,0,was,1,PRP,VBD,JJS,least,0,1,0
was,0,0,,be,0,not,0,VBD,RB,PRP,I,1,1,0
not,0,0,,not,0,without,0,RB,IN,VBD,was,1,1,0
without,0,0,,without,0,my,0,IN,PRP$,RB,not,0,1,1
my,0,0,,my,0,laptop,0,PRP$,NN,IN,without,1,1,0
laptop,0,1,NN,laptop,0,for,0,NN,IN,PRP$,my,0,1,1
for,0,0,,for,0,long,0,IN,RB,NN,laptop,1,1,0
long,0,0,,long,0,this,0,RB,DT,IN,for,0,1,1
this,0,1,DT,this,0,time,0,DT,NN,RB,long,1,1,1
time,1,1,NN,time,0,,0,NN,,DT,this,0,1,1
This,0,0,,This,0,laptop,1,DT,JJ,,,0,1,1
laptop,0,1,JJ,laptop,0,meets,0,JJ,NNS,DT,This,0,1,1
meets,0,0,,meet,0,every,0,NNS,DT,JJ,laptop,0,1,1
every,1,0,,every,0,expectation,0,DT,NN,NNS,meets,0,1,1
expectation,0,1,NN,expectation,0,and,0,NN,CC,DT,every,0,1,1
and,0,0,,and,0,Windows,0,CC,NNP,NN,expectation,1,1,0
Windows,1,1,NNP,Windows,0,7,1,NNP,CD,CC,and,0,1,1
7,1,0,,7,0,is,1,CD,VBZ,NNP,Windows,0,1,0
is,0,0,,be,0,great,0,VBZ,JJ,CD,7,1,1,0
great,0,0,,great,0,,0,JJ,,VBZ,is,0,1,1
that,0,0,,that,0,has,0,DT,VBZ,,,1,2,1
has,0,0,,have,0,that,0,VBZ,DT,DT,that,1,1,0
that,0,0,,that,0,is,0,DT,VBZ,VBZ,has,1,2,1
is,0,0,,be,0,how,0,VBZ,WRB,DT,that,1,1,0
how,0,0,,how,0,frustrating,0,WRB,JJ,VBZ,is,1,1,0
frustrating,0,0,,frustrate,0,it,0,JJ,PRP,WRB,how,0,1,1
it,0,1,PRP,it,0,was,0,PRP,VBD,JJ,frustrating,1,1,0
was,0,0,,be,0,,0,VBD,,PRP,it,1,1,0
I,0,1,PRP,I,0,can,1,PRP,MD,,,0,1,0
can,0,0,,can,0,barely,0,MD,RB,PRP,I,1,1,0
barely,0,0,,barely,0,use,0,RB,VB,MD,can,0,1,1
use,1,0,,use,0,any,0,VB,DT,RB,barely,0,1,0
any,0,0,,any,0,usb,0,DT,JJ,VB,use,1,1,0
usb,1,0,,usb,0,devices,0,JJ,NNS,DT,any,0,1,0
devices,1,1,NNS,devices,0,because,0,NNS,IN,JJ,usb,0,1,1
because,0,0,,because,0,they,0,IN,PRP,NNS,devices,1,1,1
they,0,1,PRP,they,0,will,0,PRP,MD,IN,because,1,1,1
will,0,0,,will,0,not,0,MD,RB,PRP,they,1,1,1
not,0,0,,not,0,stay,0,RB,VB,MD,will,1,1,0
stay,0,0,,stay,0,connected,0,VB,VBN,RB,not,0,1,1
connected,0,0,,connect,0,properly,0,VBN,RB,VB,stay,0,1,1
properly,0,0,,properly,0,,0,RB,,VBN,connected,0,1,1
The,0,0,,The,0,one,1,DT,CD,,,0,1,0
one,1,1,CD,one,0,down,0,CD,JJ,DT,The,0,1,0
down,0,0,,down,0,side,0,JJ,NN,CD,one,1,1,1
side,0,1,NN,side,0,to,0,NN,TO,JJ,down,0,1,1
to,0,0,,to,0,it,0,TO,PRP,NN,side,1,2,0
it,0,1,PRP,it,0,is,0,PRP,VBZ,TO,to,1,2,0
is,0,0,,be,0,that,0,VBZ,IN,PRP,it,1,1,0
that,0,0,,that,0,when,0,IN,WRB,VBZ,is,1,1,1
when,0,0,,when,0,I,0,WRB,PRP,IN,that,1,1,1
I,0,1,PRP,I,0,play,1,PRP,VBP,WRB,when,0,1,0
play,1,0,,play,0,a,0,VBP,DT,PRP,I,0,1,1
a,0,0,,a,0,certin,0,DT,JJ,VBP,play,1,1,0
certin,0,0,,certin,0,game,0,JJ,NN,DT,a,0,1,1
game,1,1,NN,game,0,on,0,NN,IN,JJ,certin,0,1,1
on,0,0,,on,0,here,0,IN,RB,NN,game,1,1,0
here,0,1,RB,here,0,it,0,RB,PRP,IN,on,1,1,1
it,0,1,PRP,it,0,tends,0,PRP,VBZ,RB,here,1,2,0
tends,0,0,,tend,0,to,0,VBZ,TO,PRP,it,0,1,1
to,0,0,,to,0,freeze,0,TO,VB,VBZ,tends,1,2,0
freeze,0,0,,freeze,0,up,0,VB,RP,TO,to,0,1,1
up,0,0,,up,0,sometimes,0,RP,RB,VB,freeze,1,1,0
sometimes,0,0,,sometimes,0,but,0,RB,CC,RP,up,0,1,1
but,0,0,,but,0,thats,0,CC,VBZ,RB,sometimes,1,1,0
thats,0,0,,thats,0,the,0,VBZ,DT,CC,but,0,1,1
the,0,0,,the,0,only,0,DT,RB,VBZ,thats,1,1,0
only,0,0,,only,0,bad,0,RB,JJ,DT,the,1,1,1
bad,0,0,,bad,0,thing,0,JJ,NN,RB,only,0,1,0
thing,0,1,NN,thing,0,about,0,NN,IN,JJ,bad,0,1,1
about,0,0,,about,0,this,0,IN,DT,NN,thing,1,1,1
this,0,1,DT,this,0,computer,0,DT,NN,IN,about,1,1,1
computer,1,1,NN,computer,0,,0,NN,,DT,this,0,1,1
No,0,0,,No,0,backlit,1,DT,JJ,,,0,1,0
backlit,1,0,,backlit,0,keyboard,0,JJ,NN,DT,No,0,1,1
keyboard,1,1,NN,keyboard,0,but,0,NN,CC,JJ,backlit,0,1,1
but,0,0,,but,0,not,0,CC,RB,NN,keyboard,1,1,0
not,0,0,,not,0,an,0,RB,DT,CC,but,1,1,0
an,0,0,,an,0,issue,0,DT,NN,RB,not,1,1,0
issue,0,1,NN,issue,0,for,0,NN,IN,DT,an,0,1,1
for,0,0,,for,0,me,0,IN,PRP,NN,issue,1,1,0
me,0,1,PRP,me,0,,0,PRP,,IN,for,1,1,0
When,0,0,,When,0,I,1,WRB,PRP,,,0,1,1
I,0,1,PRP,I,0,finally,1,PRP,RB,WRB,When,0,2,0
finally,0,0,,finally,0,had,0,RB,VBD,PRP,I,0,1,1
had,0,0,,have,0,everything,0,VBD,NN,RB,finally,1,1,0
everything,0,0,,everything,0,running,0,NN,VBG,VBD,had,0,1,1
running,1,0,,run,0,with,0,VBG,IN,NN,everything,0,1,1
with,0,0,,with,0,all,0,IN,DT,VBG,running,1,1,1
all,0,0,,all,0,my,0,DT,PRP$,IN,with,1,1,0
my,0,0,,my,0,software,0,PRP$,NN,DT,all,1,2,0
software,1,1,NN,software,0,installed,0,NN,VBN,PRP$,my,0,1,1
installed,1,0,,instal,0,I,0,VBN,PRP,NN,software,0,1,1
I,0,1,PRP,I,0,plugged,1,PRP,VBD,VBN,installed,0,2,0
plugged,0,0,,plug,0,in,0,VBD,IN,PRP,I,0,1,1
in,0,0,,in,0,my,0,IN,PRP$,VBD,plugged,1,1,0
my,0,0,,my,0,droid,0,PRP$,NN,IN,in,1,2,0
droid,0,0,,droid,0,to,0,NN,TO,PRP$,my,0,1,1
to,0,0,,to,0,recharge,0,TO,VB,NN,droid,1,1,0
recharge,0,0,,recharge,0,and,0,VB,CC,TO,to,0,1,1
and,0,0,,and,0,the,0,CC,DT,VB,recharge,1,1,0
the,0,0,,the,0,system,0,DT,NN,CC,and,1,1,0
system,1,0,,system,0,crashed,0,NN,VBD,DT,the,0,1,1
crashed,0,0,,crash,0,,0,VBD,,NN,system,0,1,1
I,0,1,PRP,I,0,can,1,PRP,MD,,,0,1,0
can,0,0,,can,0,not,0,MD,RB,PRP,I,1,1,0
not,0,0,,not,0,even,0,RB,RB,MD,can,1,1,0
even,0,0,,even,0,turn,0,RB,VB,RB,not,0,1,1
turn,0,0,,turn,0,it,0,VB,PRP,RB,even,0,1,1
it,0,1,PRP,it,0,off,0,PRP,RP,VB,turn,1,1,0
off,0,0,,off,0,,0,RP,,PRP,it,1,1,0
One,0,0,,One,0,suggestion,1,CD,NN,,,0,1,0
